Data from D4ACN5uM480nmA_Absorbance_12-08-01-002.txt Node
Date: Fri Feb 21 12:08:01 GMT 2025
User: LASERRRRR
Spectrometer: FLMT03099
Trigger mode: 0
Integration Time (sec): 1.500000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
179.3399	-0.1919
179.5586	-0.1919
179.7771	-0.1919
179.9957	-0
180.2143	-0.121
180.4329	-0
180.6514	-0.0981
180.8699	-0
181.0885	-0.232
181.307	0.0565
181.5255	0.1449
181.744	-0.6412
181.9625	-0.2005
182.181	-0.2198
182.3994	-0
182.6179	-0
182.8363	-0
183.0547	-0
183.2732	0.1565
183.4916	0.4603
183.71	0.2325
183.9284	0.3542
184.1467	0.5065
184.3651	0.3943
184.5835	0.1697
184.8018	0.1394
185.0201	0.2898
185.2385	0.1241
185.4568	0.2267
185.6751	0.2977
185.8934	0.2867
186.1117	0.2045
186.3299	0.2846
186.5482	0.2812
186.7664	0.4029
186.9847	0.442
187.2029	0.1831
187.4211	0.2486
187.6393	0.2999
187.8575	0.266
188.0757	0.5674
188.2939	0.2892
188.512	0.1278
188.7302	0.1552
188.9483	0.5219
189.1665	0.3462
189.3846	0.1524
189.6027	0.2587
189.8208	0.2113
190.0389	0.3026
190.257	0.1863
190.475	0.1288
190.6931	0.3059
190.9111	0.3576
191.1292	0.2179
191.3472	0.2044
191.5652	0.7481
191.7832	0.2894
192.0012	0.332
192.2192	0.2329
192.4371	0.5315
192.6551	0.3741
192.873	0.3417
193.091	0.2672
193.3089	0.139
193.5268	0.4013
193.7447	0.377
193.9626	0.4099
194.1805	0.3605
194.3984	0.4669
194.6162	0.541
194.8341	1.1454
195.0519	0.4569
195.2697	0.5378
195.4875	0.5125
195.7054	0.4788
195.9231	0.5004
196.1409	0.7161
196.3587	0.5291
196.5765	0.5876
196.7942	0.7098
197.012	0.4803
197.2297	0.56
197.4474	0.7863
197.6651	0.6352
197.8828	0.7889
198.1005	0.7563
198.3182	0.5731
198.5358	0.5009
198.7535	0.5664
198.9711	0.7148
199.1888	0.5614
199.4064	0.5674
199.624	0.6009
199.8416	0.596
200.0592	0.5212
200.2767	0.5845
200.4943	0.6125
200.7119	0.6079
200.9294	0.6374
201.1469	0.6236
201.3645	0.6669
201.582	0.5428
201.7995	0.6207
202.017	0.5487
202.2344	0.5783
202.4519	0.6146
202.6694	0.5858
202.8868	0.5474
203.1042	0.5668
203.3217	0.5785
203.5391	0.5448
203.7565	0.4901
203.9739	0.4955
204.1913	0.5485
204.4086	0.5226
204.626	0.5411
204.8433	0.5524
205.0607	0.5175
205.278	0.5209
205.4953	0.4645
205.7126	0.5047
205.9299	0.4792
206.1472	0.4703
206.3644	0.485
206.5817	0.4677
206.7989	0.4693
